sa2_name,z scores_x,z scores_y,z scores_x,z scores_y,z scores
Acacia Gardens,-0.11299343730097486,-0.1288452004834487,-1.2826061467353889,-0.800291178371041,-0.07288939327966013
Quakers Hill,-0.11899735239852903,-0.13220901550160635,0.6282743427575156,-0.07281619305350244,-0.0931220885811966
Kellyville Ridge - The Ponds,-0.11232196703780345,-0.1321913980636401,-0.6803892651982312,-0.07281619305350244,-0.06567923986134838
Riverstone,-0.11177867747110655,-0.13121033434101634,0.5472066856275135,0.1696754687190104,-0.09277062840009163
Schofields - East,-0.11404493456045826,-0.1331551675151788,0.14186839997750353,-0.5577995165985281,-0.08826809060079495
Stanhope Gardens - Parklea,-0.10494866016045692,-0.12988810688848074,-0.900430048836808,-0.3153078548260153,-0.06552238606484927
Bidwill - Hebersham - Emerton,-0.12338214711499237,-0.1313118398452067,0.9757071590289528,-0.07281619305350244,-0.10056703026919475
Glendenning - Dean Park,-0.11082595286800871,-0.12778452936098386,-0.5877405141925146,-0.5577995165985281,-0.09028348789561991
Hassall Grove - Plumpton,-0.11972512147757716,-0.1312600292051041,0.3155848081132221,-0.3153078548260153,-0.090215073640303
Lethbridge Park - Tregear,-0.12429859114689355,-0.1314102347341513,1.265234505921817,0.1696754687190104,-0.09651680130375424
Mount Druitt - Whalan,-0.11344534617788461,-0.13214723052869856,1.079937003910384,0.1696754687190104,-0.08294930901829316
Rooty Hill - Minchinbury,-0.11223649992129506,-0.13134231959456463,1.6242484160689687,0.6546587922640361,-0.08985028515417948
Botany,-0.11246680962655657,-0.13244438676295325,-0.9467544243396663,-0.3153078548260153,-0.08694523991353494
Pagewood - Hillsdale - Daceyville,-0.11179222275044097,-0.13004820154702823,-0.7614569223282331,-0.3153078548260153,-0.08335073392904895
Eastlakes,-0.11222898808496799,-0.12671274327888177,-0.9699166120910955,-0.07281619305350244,-0.08064528498030785
Mascot,-0.10340154152969247,-0.1317337796771435,-0.7382947345768041,-0.3153078548260153,-0.08414491706946473
Petersham - Stanmore,-0.10713516392369796,-0.12872622815952642,-0.7151325468253749,0.41216713049152326,-0.05585378410902692
Sydenham - Tempe - St Peters,-0.07992669339844778,-0.11912976754113852,-0.8888489549610935,-0.3153078548260153,-0.08771059977363965
Marrickville - North,-0.0851501366929358,-0.12613002388544126,-0.9351733304639518,-0.3153078548260153,-0.0712472541820296
Marrickville - South,-0.10016713659882674,-0.1279266057655818,-0.8772678610853789,0.6546587922640361,-0.05579003147763277
Darlinghurst,-0.07614476350380711,-0.11591480026384583,-1.0857275508482411,0.6546587922640361,0.055423643580787295
Erskineville - Alexandria,-0.07275848362677569,-0.1297329413604296,-0.07817238366107336,-0.07281619305350244,-0.06602662932860533
Glebe - Forest Lodge,-0.10651583699247767,-0.13050547024164774,-0.46034848155965424,1.1396421158090617,-0.03972279260610606
Potts Point - Woolloomooloo,-0.0980871570677556,-0.12301947679766513,-0.9814977059668101,0.6546587922640361,-0.04733844164902162
Surry Hills,-0.04824348590369059,-0.12116811163331406,-1.039403175345383,0.41216713049152326,0.026520787379670438
Camperdown - Darlington,-0.11231877051170683,-0.12089023441068551,-1.224700677356816,-0.3153078548260153,-0.007913052777445547
Chippendale,-0.09595111846026497,-0.10807255009819955,-1.5952956813796824,-0.800291178371041,-0.07086762728736325
Newtown (NSW),-0.09686172883203982,-0.12497018651242801,-1.201538489605387,0.897150454036549,-0.002797741230670327
Pyrmont,-0.09035228313230506,-0.13171494387014585,-1.224700677356816,-0.800291178371041,-0.046662571836898606
Redfern,-0.10915025397500769,-0.1228283220497225,-0.9351733304639518,-0.3153078548260153,-0.06199235493518209
Rosebery - Beaconsfield,-0.09078856898791758,-0.12838937396608946,-0.9235922365882372,-0.07281619305350244,-0.06556499724690365
Sydney (North) - Millers Point,0.5033289192147818,-0.11481448336108215,0.33874699586465123,14.476683513297269,0.7094792880723064
Sydney (South) - Haymarket,-0.04092368088188626,-0.12564465243612896,-0.8425245794582351,5.504492027714293,-0.011770119805129507
Ultimo,-0.07705033934697977,-0.12029562803923084,-1.4563225548711074,-0.800291178371041,-0.05479552982188891
Waterloo,-0.09087299723344458,-0.1253463477165582,-1.0278220814696684,-0.5577995165985281,-0.07898403979026156
Zetland,-0.09753659540418888,-0.12530254277914138,-1.3752548977411054,-0.800291178371041,-0.07635258591420965
Bondi - Tamarama - Bronte,-0.09676071860738661,-0.1306870934028437,-0.5529972325653708,-0.07281619305350244,-0.04782410407376167
Bondi Beach - North Bondi,-0.09316918179837592,-0.1328749154108931,-0.6224837958196583,-0.07281619305350244,-0.05596251156277433
Bondi Junction - Waverly,-0.08531008286749545,-0.12886899696474172,-0.06659128978535879,0.41216713049152326,0.08337736688856333
Dover Heights,-0.09932009713979845,-0.13259533713961383,-0.7614569223282331,-0.800291178371041,-0.02759350978582418
Paddington - Moore Park,-0.07553103049325594,-0.12715799344343492,-0.5645783264410854,0.1696754687190104,-0.01888145992761405
Rose Bay - Vaucluse - Watsons Bay,-0.09474738664543,-0.13270471034974268,0.47772012237322614,0.41216713049152326,-0.02423838803827239
Woollahra,-0.09198502870588275,-0.12794705556404926,-1.120470832475385,-0.5577995165985281,0.03960123845021713
Bellevue Hill,-0.10223808594367492,-0.13203101083857097,0.1071251183503598,-0.3153078548260153,-0.007195162693342865
Double Bay - Darling Point,-0.06321829166510615,-0.1262125164997094,-0.8772678610853789,-0.3153078548260153,0.08328452835015823
Kensington (NSW),-0.11459857288039298,-0.12746264702232,-0.8888489549610935,0.41216713049152326,-0.04359489501235775
Kingsford,-0.11186262623771905,-0.13094487772573135,-0.7035514529496603,-0.5577995165985281,-0.05541027326961649
Maroubra - North,-0.10762163523902742,-0.13003021242946247,-0.900430048836808,-0.3153078548260153,-0.016685244149926587
Maroubra - South,-0.11027007697980637,-0.12893232239646452,-0.3213753550510794,-0.3153078548260153,-0.06786311218414183
Maroubra - West,-0.11708826714389849,-0.12784102676729528,-0.9930787998425246,-0.5577995165985281,-0.05847053088988595
Randwick - North,-0.11792236067223548,-0.1296249248607277,-0.46034848155965424,0.897150454036549,-0.042818373517508425
